时间,类型,城市,城市ID,空气质量,空气质量核减,空气质量变化
1/21/2017,1,46,46,98,,
1/21/2017,1,47,47,106,,
1/21/2017,1,48,48,109,,
1/21/2017,1,49,49,82,,
1/21/2017,1,50,50,387,,
1/22/2017,1,1,1,36,,
1/22/2017,1,2,2,42,,
1/22/2017,1,3,3,96,,
1/22/2017,1,4,4,42,,
1/22/2017,1,5,5,80,,
1/22/2017,1,6,6,59,,
1/22/2017,1,7,7,73,,
1/22/2017,1,8,8,83,,
1/22/2017,1,9,9,39,,
1/22/2017,1,10,10,123,,
1/22/2017,1,11,11,143,,
1/22/2017,1,12,12,88,,
1/22/2017,1,13,13,67,,
1/22/2017,1,14,14,76,,
1/22/2017,1,15,15,112,,
1/22/2017,1,16,16,90,,
1/22/2017,1,17,17,86,,
1/22/2017,1,18,18,82,,
1/22/2017,1,19,19,127,,
1/22/2017,1,20,20,56,,
1/22/2017,1,21,21,59,,
1/22/2017,1,22,22,53,,
1/22/2017,1,23,23,98,,
1/22/2017,1,24,24,63,,
1/22/2017,1,25,25,48,,
1/22/2017,1,26,26,140,,
1/22/2017,1,27,27,154,,
1/22/2017,1,28,28,135,,
1/22/2017,1,29,29,128,,
1/22/2017,1,30,30,131,,
1/22/2017,1,31,31,62,,
1/22/2017,1,32,32,66,,
1/22/2017,1,33,33,72,,
1/22/2017,1,34,34,82,,
1/22/2017,1,35,35,79,,
1/22/2017,1,36,36,60,,
1/22/2017,1,37,37,41,,
1/22/2017,1,38,38,165,,
1/22/2017,1,39,39,231,,
1/22/2017,1,40,40,179,,
1/22/2017,1,41,41,121,,
1/22/2017,1,42,42,56,,
1/22/2017,1,43,43,24,,
1/22/2017,1,44,44,59,,
1/22/2017,1,45,45,60,,
1/22/2017,1,46,46,175,,
1/22/2017,1,47,47,92,,
1/22/2017,1,48,48,73,,
1/22/2017,1,49,49,109,,
1/22/2017,1,50,50,299,,
1/23/2017,1,1,1,47,,
1/23/2017,1,2,2,75,,
1/23/2017,1,3,3,251,,
1/23/2017,1,4,4,56,,
